,name,trimmed_name
13683,"all marketing solutions, inc.",all marketing solutions
13684,ipower inc.,ipower
13685,"the pennant group, inc.",the pennant group
13686,"privia health group, inc.",privia health group
13687,emerson radio corp,emerson radio
13688,"hydrodynex, inc.",hydrodynex
13689,1 800 flowers com inc,1 800 flowers com
13691,real estate associates ltd ii,real estate associates ltd ii
13692,red metal resources ltd.,red metal resources
13694,vbi vaccines inc/bc,vbi vaccines inc/b
13695,asta funding inc,asta funding
13696,trex co inc,trex co
13697,coastal financial corporation,coastal financial
13698,mpm holdings inc.,mpm holdings
13699,stoneco ltd.,stoneco
13700,"copsync, inc.",copsync
13701,body and mind inc.,body and mind
13703,"asia8, inc.",asia8
13704,"accredited solutions, inc.",accredited solutions
13705,society pass incorporated,society pass incorporated
13706,"blue apron holdings, inc.",blue apron holdings
13707,western liberty bancorp,western liberty ban
13708,unum group,unum group
13709,peoples bancorporation inc /sc/,peoples bancorporation inc /sc/
13710,"inrad optics, inc.",inrad optics
13711,emerging acquisition corp,emerging acquisition
13712,"evcarco, inc.",evcarco
13713,"tenon medical, inc.",tenon medical
13714,fat brands inc.,fat brands
13715,"allegheny energy, inc",allegheny energy
13716,"madison venture capital group, inc.",madison venture capital group
13718,eureka financial corp.,eureka financial
13719,landbay inc,landbay
13720,"concrete leveling systems, inc.",concrete leveling systems
13721,"drinks americas holdings, ltd",drinks americas holdings
13722,singularity future technology ltd.,singularity future technology
13723,epic stores corp.,epic stores
13724,sb partners,sb partners
13725,hcw pension real estate fund ltd partnership,hcw pension real estate fund ltd partnership
13726,374water inc.,374water
13727,"medalist diversified reit, inc.",medalist diversified reit
13729,guild holdings company,guild holdings company
13730,comverse technology inc/ny/,comverse technology inc/ny/
13731,"village farms international, inc.",village farms international
13732,evogene ltd.,evogene
13733,cec entertainment inc,cec entertainment
13734,pharming group n.v.,pharming group n.v.
13735,airborne wireless network,airborne wireless network
13736,autohome inc.,autohome
13737,solutia inc,solutia
13738,"liberty expedia holdings, inc.",liberty expedia holdings
13739,east coast diversified corp,east coast diversified
13740,imageware systems inc,imageware systems
13741,efactor group corp.,efactor group
13742,"bsb bancorp, inc.",bsb bancorp
13744,limoneira company,limoneira company
13745,wd-40 company,wd-40 company
13746,"dht holdings, inc.",dht holdings
13747,park-ohio holdings corp,park-ohio holdings
13748,"paratek pharmaceuticals, inc.",paratek pharmaceuticals
13749,biocorrx inc.,biocorrx
13750,iwallet corp,iwallet
13751,"sibling group holdings, inc.",sibling group holdings
13753,"hasco medical, inc.",hasco medical
13754,"aaa century group usa, inc.",aaa century group usa
13755,"rts oil holdings, inc.",rts oil holdings
13756,afternext healthtech acquisition corp.,afternext healthtech acquisition
13757,"mountain top properties, inc.",mountain top properties
13758,nfinanse inc.,nfinanse
13760,"kaya holdings, inc",kaya holdings
13761,kb financial group inc.,kb financial group
13762,dow chemical co /de/,dow chemical co /de/
13763,"eidos therapeutics, inc.",eidos therapeutics
13764,novagant corp,novagant
13765,"international land alliance, inc.",international land alliance
13766,"cloudera, inc.",cloudera
13767,"digitalocean holdings, inc.",digitalocean holdings
13769,kent financial services inc,kent financial services
13770,dune acquisition corporation,dune acquisition
13771,cardiogenics holdings inc.,cardiogenics holdings
13772,aeropostale inc,aeropostale
13773,ubi blockchain internet ltd-de,ubi blockchain internet ltd-de
13774,cheval resources corp,cheval resources
13775,joff fintech acquisition corp.,joff fintech acquisition
13776,gty technology holdings inc.,gty technology holdings
13777,clearwire corp /de,clearwire corp /de
13778,agree realty corporation,agree realty
13779,"gsp-2, inc.",gsp-2
13780,"first california financial group, inc.",first california financial group
13782,lmf acquisition opportunities inc.,lmf acquisition opportunities
13783,amtd digital inc.,amtd digital
13784,"accustem sciences, inc.",accustem sciences
13786,"oaktree capital group, llc",oaktree capital group
13787,conyers park acquisition corp.,conyers park acquisition
13788,evans & sutherland computer corp,evans & sutherland computer
13789,"po yuen cultural holdings (hong kong) co., ltd.",po yuen cultural holdings (hong kong) co.
13790,imine corporation,imine
13791,"smart global holdings, inc.",smart global holdings
13792,"mgp ingredients, inc.",mgp ingredients
13793,"aterian, inc.",aterian
13794,reald inc.,reald
13795,"dominion energy south carolina, inc.",dominion energy south carolina
13796,orbit fr inc,orbit fr
13797,furniture brands international inc,furniture brands international
13798,"sono resources, inc.",sono resources
13799,"kiromic biopharma, inc.",kiromic biopharma
13800,frontier oil corp /new/,frontier oil corp /new/
13801,"bantec, inc.",bantec
13802,ishares gold trust micro,ishares gold trust micro
13803,"yeti holdings, inc.",yeti holdings
13804,entertainment gaming asia inc.,entertainment gaming asia
13805,world gold trust,world gold trust
13806,secure point technologies inc,secure point technologies
13807,pinnacle bankshares corp,pinnacle bankshares
13808,"jaguar health, inc.",jaguar health
13809,essent group ltd.,essent group
13811,"magnetek, inc.",magnetek
13812,"rightscorp, inc.",rightscorp
13813,sprott physical gold and silver trust,sprott physical gold and silver trust
13814,taglikeme corp.,taglikeme
13815,avistar communications corp,avistar communications
13816,"innovative designs, inc.",innovative designs
13817,hoegh lng partners lp,hoegh lng partners
13818,suffolk bancorp,suffolk ban
13819,"earthstone energy, inc.",earthstone energy
13820,azteca acquisition corp,azteca acquisition
13821,wells real estate fund x l p,wells real estate fund x
13822,linear technology corp /ca/,linear technology corp /ca/
13823,geopark limited,geopark limited
13824,oxford investments holdings inc,oxford investments holdings
13825,bluesky systems corp,bluesky systems
13826,usa synthetic fuel corp,usa synthetic fuel
13827,new england realty associates limited partnership,new england realty associates limited partnership
13828,calpetro tankers (bahamas i) ltd,calpetro tankers (bahamas i)
13830,angeles income properties ltd 6,angeles income properties ltd 6
13831,epolin inc /nj/,epolin inc /nj/
13832,boston financial qualified housing tax credits lp iii,boston financial qualified housing tax credits lp iii
13833,"leggett & platt, inc",leggett & platt
13834,ia energy corp.,ia energy
13837,southern states sign co,southern states sign
13838,"first financial bankshares, inc.",first financial bankshares
13839,"research solutions, inc.",research solutions
13840,itau unibanco holding s.a.,itau unibanco holding s.a.
13841,laclede gas co,laclede gas
13842,"w&t offshore, inc.",w&t offshore
13843,marlin technology corp.,marlin technology
13844,dbv technologies s.a.,dbv technologies s.a.
13845,"odonate therapeutics, inc.",odonate therapeutics
13846,"soluna holdings, inc.",soluna holdings
13847,quality industrial corp.,quality industrial
13849,docgo inc.,docgo
13852,glass house brands inc.,glass house brands
13853,"changing technologies, inc.",changing technologies
13854,brookfield business corporation,brookfield business
13855,bonanza goldfields corp.,bonanza goldfields
13856,hemagen diagnostics inc,hemagen diagnostics
13857,aenza s.a.a.,aenza s.a.a.
13858,tor minerals international inc,tor minerals international
13859,td synnex corporation,td synnex
13860,"lts nutraceuticals, inc.",lts nutraceuticals
13861,pinduoduo inc.,pinduoduo
13862,roivant sciences ltd.,roivant sciences
13863,"plymouth industrial reit, inc.",plymouth industrial reit
13864,"chemocentryx, inc.",chemocentryx
13865,real estate associates ltd vii,real estate associates ltd vii
13866,ocean thermal energy corp,ocean thermal energy
13867,jones soda co,jones soda
13868,"pacific biosciences of california, inc.",pacific biosciences of california
13869,"ridgewood energy a-1 fund, llc",ridgewood energy a-1 fund
13870,amber resources co of colorado,amber resources co of colorado
13871,realmark property investors ltd partnership ii,realmark property investors ltd partnership ii
13872,seen on screen tv inc.,seen on screen tv
13873,"dynatrace, inc.",dynatrace
13874,cagles inc,cagles
13875,"bit digital, inc.",bit digital
13876,haymaker acquisition corp.,haymaker acquisition
13879,"lans holdings, inc.",lans holdings
13880,"willamette valley vineyards, inc.",willamette valley vineyards
13881,adams golf inc,adams golf
13882,cole kenneth productions inc,cole kenneth productions
13883,"innerscope hearing technologies, inc.",innerscope hearing technologies
13884,worldwide specialty chemicals inc.,worldwide specialty chemicals
13885,yellow corporation,yellow
13886,"riley exploration permian, inc.",riley exploration permian
13887,"starburst ii, inc.",starburst ii
13888,"surgery partners, inc.",surgery partners
13889,"jacksonville bancorp, inc.",jacksonville bancorp
13890,"sonnet biotherapeutics holdings, inc.",sonnet biotherapeutics holdings
13891,sunnova energy international inc.,sunnova energy international
13892,"pennymac financial services, inc.",pennymac financial services
13893,"startech labs, inc.",startech labs
13894,american vanguard corporation,american vanguard
13895,"mesa energy holdings, inc.",mesa energy holdings
13896,arcelormittal,arcelormittal
13897,"terra energy & resource technologies, inc.",terra energy & resource technologies
13899,hawaiian electric co inc,hawaiian electric co
13900,electro scientific industries inc,electro scientific industries
13901,star wealth group inc.,star wealth group
13902,lvyuan green building material technology corp.,lvyuan green building material technology
13903,"analog devices, inc.",analog devices
13904,"oxygen therapy, inc.",oxygen therapy
13905,"rjs development, inc.",rjs development
13906,tiptree inc.,tiptree
13907,edtechx holdings acquisition corp. ii,edtechx holdings acquisition corp. ii
13908,navient corporation,navient
13909,alithya group inc.,alithya group
13910,trillium therapeutics inc.,trillium therapeutics
13911,china bull management inc,china bull management
13912,hk ebus corp,hk ebus
13913,"horne international, inc.",horne international
13914,biocurex inc,biocurex
13915,anv security group inc.,anv security group
13916,"ilg, inc.",ilg
13917,berkshire hathaway energy company,berkshire hathaway energy company
13918,"highlands reit, inc.",highlands reit
13919,gold fields limited,gold fields limited
13920,wuxi pharmatech (cayman) inc.,wuxi pharmatech (cayman)
13921,"century casinos, inc.",century casinos
13922,corning natural gas holding corporation,corning natural gas holding
13923,cbc acquisition corp. 1,cbc acquisition corp. 1
13925,"creations, inc.",creations
13926,target global acquisition i corp.,target global acquisition i
13927,"senti biosciences, inc.",senti biosciences
13928,kraton corp,kraton
13929,makism 3d corp.,makism 3d
13931,martha stewart living omnimedia inc,martha stewart living omnimedia
13932,housing programs ltd,housing programs
13933,perion network ltd.,perion network
13934,"vitacig, inc.",vitacig
13935,algonquin power & utilities corp.,algonquin power & utilities
13936,bay banks of virginia inc,bay banks of virginia
13937,first financial service corp,first financial service
13938,crown electrokinetics corp.,crown electrokinetics
13939,station casinos llc,station casinos
13940,playa hotels & resorts n.v.,playa hotels & resorts n.v.
13941,"hillenbrand, inc.",hillenbrand
13942,"lifeloc technologies, inc.",lifeloc technologies
13943,"sabine pass lng, l.p.",sabine pass lng
13944,medicus homecare inc.,medicus homecare
13945,federal home loan bank of atlanta,federal home loan bank of atlanta
13946,dynacq healthcare inc,dynacq healthcare
13947,"acacia diversified holdings, inc.",acacia diversified holdings
13948,"vizconnect, inc.",vizconnect
13949,"jones energy, inc.",jones energy
13950,"avanos medical, inc.",avanos medical
13951,"liveperson, inc.",liveperson
13952,"ross stores, inc.",ross stores
13953,"neximmune, inc.",neximmune
13954,"tyler technologies, inc.",tyler technologies
13956,volcano corp,volcano
13957,knight-swift transportation holdings inc.,knight-swift transportation holdings
13958,"revolution medicines, inc.",revolution medicines
13960,"tapinator, inc.",tapinator
13961,"spectrum brands, inc.",spectrum brands
13962,mewbourne energy partners 02-a lp,mewbourne energy partners 02-a
13963,serena software inc,serena software
13964,smf energy corp,smf energy
13965,gridsum holding inc.,gridsum holding
13966,jowell global ltd.,jowell global
13967,"cocrystal pharma, inc.",cocrystal pharma
13968,point.360,point.360
13969,"hannover house, inc.",hannover house
13971,ness technologies inc,ness technologies
13972,bcd semiconductor manufacturing ltd,bcd semiconductor manufacturing
13974,new western energy corp,new western energy
13975,kellogg company,kellogg company
13976,"federal life group, inc.",federal life group
13978,international flavors & fragrances inc,international flavors & fragrances
13979,"ruby creek resources, inc.",ruby creek resources
13980,"vishay precision group, inc.",vishay precision group
13981,compass group diversified holdings llc,compass group diversified holdings
13984,shenandoah telecommunications company,shenandoah telecommunications company
13985,crown crafts inc,crown crafts
13986,midwest holding inc.,midwest holding
13987,zunicom inc,zunicom
13988,imperial petroleum inc,imperial petroleum
13989,reshape lifesciences inc.,reshape lifesciences
13990,findex com inc,findex com
13991,tailwind international acquisition corp.,tailwind international acquisition
13992,gogo inc.,gogo
13994,"farmhouse, inc. /nv","farmhouse, inc. /nv"
13995,maris tech ltd.,maris tech
13996,"acorda therapeutics, inc.",acorda therapeutics
13997,"ww international, inc.",ww international
13998,welltower inc.,welltower
14000,texas industries inc,texas industries
14001,luminex corp,luminex
14002,inflection point acquisition corp.,inflection point acquisition
14003,pace holdings corp.,pace holdings
14004,"watermark lodging trust, inc.",watermark lodging trust
14005,dnb financial corp /pa/,dnb financial corp /pa/
14006,hallwood group inc,hallwood group
14007,carbo ceramics inc,carbo ceramics
14008,phx minerals inc.,phx minerals
14009,american national insurance co,american national insurance
14010,federal home loan bank of new york,federal home loan bank of new york
14011,"ev charging usa, inc",ev charging usa
14012,"burlington stores, inc.",burlington stores
14013,"arvinas, inc.",arvinas
14014,msg networks inc.,msg networks
14015,"viemed healthcare, inc.",viemed healthcare
14017,warren resources inc,warren resources
14018,empowerment & inclusion capital i corp.,empowerment & inclusion capital i
14019,zeta global holdings corp.,zeta global holdings
14020,bancfirst corporation,bancfirst
14022,"physical property holdings, inc.",physical property holdings
14024,"forrester research, inc.",forrester research
14025,"nuvasive, inc",nuvasive
14026,"antilia group, corp.",antilia group
14027,longevity acquisition corp,longevity acquisition
14028,ritchie bros. auctioneers incorporated,ritchie bros. auctioneers incorporated
14029,synergetics usa inc,synergetics usa
14031,elitesoft global inc.,elitesoft global
14033,amreit monthly income & growth fund iv lp,amreit monthly income & growth fund iv
14034,"mistras group, inc.",mistras group
14035,transcend services inc,transcend services
14036,"red cat holdings, inc.",red cat holdings
14037,ciig merger corp.,ciig merger
14038,wowjoint holdings ltd,wowjoint holdings
14039,"kronos worldwide, inc.",kronos worldwide
14040,"bankwell financial group, inc.",bankwell financial group
14041,"cinemark holdings, inc.",cinemark holdings
14042,luna innovations inc,luna innovations
14043,us vr global.com inc.,us vr global.com
14045,milestone scientific inc.,milestone scientific
14046,varian semiconductor equipment associates inc,varian semiconductor equipment associates
14047,blue dolphin energy company,blue dolphin energy company
14048,mogu inc.,mogu
14049,seals entertainment corp,seals entertainment
14050,"american tire distributors holdings, inc.",american tire distributors holdings
14051,anglogold ashanti limited,anglogold ashanti limited
14052,theratechnologies inc.,theratechnologies
14053,"hfactor, inc.",hfactor
14054,i-mab,i-mab
14055,chemomab therapeutics ltd.,chemomab therapeutics
14057,"dld group, inc.",dld group
14058,mediacom broadband llc,mediacom broadband
14059,wnc housing tax credit fund vi lp series 7,wnc housing tax credit fund vi lp series 7
14060,"china biologic products holdings, inc.",china biologic products holdings
14061,great plains energy inc,great plains energy
14062,"deltek, inc",deltek
14063,sanofi,sanofi
14064,cadence pharmaceuticals inc,cadence pharmaceuticals
14065,citizens financial group inc/ri,citizens financial group inc/ri
14066,artisan acquisition corp.,artisan acquisition
14067,"international building technologies group, inc.",international building technologies group
14068,spiral toys inc.,spiral toys
14069,interphase corp,interphase
14070,digimarc corp,digimarc
14071,vision     sensing acquisition corp.,vision     sensing acquisition
14072,evo acquisition corp,evo acquisition
14073,park city group inc,park city group
14074,perpetual industries inc.,perpetual industries
14075,pioneer pe holding llc,pioneer pe holding
14076,alr technologies inc.,alr technologies
14077,gt advanced technologies inc.,gt advanced technologies
14078,the new york times company,the new york times company
14079,"biocrude technologies usa, inc.",biocrude technologies usa
14080,icts international n.v.,icts international n.v.
14081,southwestern energy company,southwestern energy company
14082,"geoeye, inc.",geoeye
14083,"nordstrom, inc.",nordstrom
14084,sharps compliance corp,sharps compliance
14085,"sevcon, inc.",sevcon
14086,"first wave biopharma, inc.",first wave biopharma
14087,aden solutions inc.,aden solutions
14088,toyota motor credit corporation,toyota motor credit
14089,psychemedics corp,psychemedics
14090,cordia bancorp inc,cordia bancorp
14091,kingswood acquisition corp.,kingswood acquisition
14092,"spring pharmaceutical group, inc.",spring pharmaceutical group
14093,mcgrath rentcorp,mcgrath rent
14094,"parts id, inc.",parts id
14095,teche holding co,teche holding
14096,aroga holding corp.,aroga holding
14097,"amplitude, inc.",amplitude
14098,eagle ford oil & gas corp,eagle ford oil & gas
14099,"new global energy, inc.",new global energy
14101,"innovative industrial properties, inc.",innovative industrial properties
14102,"terra secured income fund 5, llc",terra secured income fund 5
14103,top ships inc.,top ships
14104,spindletop health acquisition corp.,spindletop health acquisition
14105,"bergio international, inc.",bergio international
14106,"alpha natural resources, inc.",alpha natural resources
14109,"unified signal, inc.",unified signal
14110,golden state petroleum transport corp,golden state petroleum transport
14111,mewbourne energy partners 01-a lp,mewbourne energy partners 01-a
14112,fincera inc.,fincera
14113,chicago bridge & iron co n v,chicago bridge & iron co n v
14115,26 capital acquisition corp.,26 capital acquisition
14116,"greenkissny, inc.",greenkissny
14117,stewart & stevenson llc,stewart & stevenson
14118,"universal insurance holdings, inc.",universal insurance holdings
14119,aeterna zentaris inc.,aeterna zentaris
14120,ranger oil corporation,ranger oil
14121,"westwater resources, inc.",westwater resources
14122,"global warming solutions, inc.",global warming solutions
14123,"microlin bio, inc",microlin bio
14124,petrobras - petroleo brasileiro sa,petrobras - petroleo brasileiro sa
14125,integrated drilling equipment holdings corp,integrated drilling equipment holdings
14126,allot ltd.,allot
14128,"apac customer services, inc",apac customer services
14129,rofin sinar technologies inc,rofin sinar technologies
14130,"cam group, inc.",cam group
14131,itc deltacom inc,itc deltacom
14132,"ridgewood energy y fund, llc",ridgewood energy y fund
14133,"cannis, inc.",cannis
14134,bilander acquisition corp.,bilander acquisition
14135,savannah bancorp inc,savannah bancorp
14136,mind medicine (mindmed) inc.,mind medicine (mindmed)
14137,"elite pharmaceuticals, inc.",elite pharmaceuticals
14138,af ocean investment management co,af ocean investment management
14140,castle group inc,castle group
14141,first century bancorp.,first century ban
14142,access national corp,access national
14143,"blubuzzard, inc.",blubuzzard
14144,"phreesia, inc.",phreesia
14145,northern california bancorp inc,northern california bancorp
14146,"iveda solutions, inc.",iveda solutions
14147,"landmark bancorp, inc.",landmark bancorp
14148,dtrt health acquisition corp.,dtrt health acquisition
14149,tel-instrument electronics corp.,tel-instrument electronics
14150,arya sciences acquisition corp iv,arya sciences acquisition corp iv
14151,rmg acquisition corp. iii,rmg acquisition corp. iii
14152,"homology medicines, inc",homology medicines
14153,highbridge commodities futuresaccess llc,highbridge commodities futuresaccess
14154,"sun river energy, inc",sun river energy
14155,lone pine resources inc.,lone pine resources
14156,bio essence corp.,bio essence
14157,"aeglea biotherapeutics, inc.",aeglea biotherapeutics
14158,"ufood restaurant group, inc.",ufood restaurant group
14159,community financial corp /va/,community financial corp /va/
14160,pine technology acquisition corp.,pine technology acquisition
14162,freedom capital corp/md,freedom capital corp/md
14163,"modular medical, inc.",modular medical
14165,vista international technologies inc,vista international technologies
14166,friendfinder networks inc.,friendfinder networks
14167,"pacific oak strategic opportunity reit, inc.",pacific oak strategic opportunity reit
14168,"multimedia games holding company, inc.",multimedia games holding company
14169,ciena corp,ciena
14170,"stealth technologies, inc.",stealth technologies
14171,"zzll information technology, inc",zzll information technology
14173,intelsat investments s.a.,intelsat investments s.a.
14174,service team inc.,service team
14175,"northfield bancorp, inc.",northfield bancorp
14177,marriott vacations worldwide corp,marriott vacations worldwide
14178,foster wheeler ag,foster wheeler ag
14179,hf sinclair corp,hf sinclair
14180,"kymera therapeutics, inc.",kymera therapeutics
14181,swissinso holding inc.,swissinso holding
14182,platinum group metals ltd.,platinum group metals
14183,"huntington ingalls industries, inc.",huntington ingalls industries
14184,"sterling bancorp, inc.",sterling bancorp
14185,ats corp,ats
14186,fuquan financial co,fuquan financial
14187,morphosys ag,morphosys ag
14188,"motus gi holdings, inc.",motus gi holdings
14189,"raymond james financial, inc.",raymond james financial
14190,penn millers holding corp,penn millers holding
14191,"rouse properties, inc.",rouse properties
14192,industrias bachoco s.a.b. de c.v.,industrias bachoco s.a.b. de c.v.
14193,"white mountains insurance group, ltd",white mountains insurance group
14194,asia pacific wire & cable corporation limited,asia pacific wire & cable corporation limited
14195,digitiliti inc,digitiliti
14196,"fuel systems solutions, inc.",fuel systems solutions
14197,"neuropace, inc.",neuropace
14198,"huttig building products, inc.",huttig building products
14201,molex inc,molex
14202,capital bancorp inc,capital bancorp
14204,"playags, inc.",playags
14205,acme packet inc,acme packet
14206,"pan ocean container supplies, ltd.",pan ocean container supplies
14207,"armstrong flooring, inc.",armstrong flooring
14208,park place energy corp.,park place energy
14209,lennox international inc,lennox international
14210,"paychex, inc.",paychex
14211,"new you, inc.",new you
14212,"it tech packaging, inc.",it tech packaging
14213,"lyris, inc.",lyris
14214,haymaker acquisition corp. ii,haymaker acquisition corp. ii
14215,counterpath corp,counterpath
14216,citizens capital corp,citizens capital
14217,"vaxxinity, inc.",vaxxinity
14218,"ecosciences, inc.",ecosciences
14219,msa safety inc,msa safety
14220,acasti pharma inc.,acasti pharma
14222,"xponential fitness, inc.",xponential fitness
14223,innsuites hospitality trust,innsuites hospitality trust
14225,"rockwell medical, inc.",rockwell medical
14226,quhuo ltd,quhuo
14227,monterey bio acquisition corporation,monterey bio acquisition
14228,"online-redefined, inc.",online-redefined
14229,houston wire & cable company,houston wire & cable company
14230,mountain high acquisitions corp.,mountain high acquisitions
14231,exelis inc.,exelis
14232,barclays plc,barclays pl
14233,centerpoint energy transition bond co llc,centerpoint energy transition bond co
14234,"hbt financial, inc.",hbt financial
14235,"silverton energy, inc.",silverton energy
14236,"teligent, inc.",teligent
14237,"str holdings, inc.",str holdings
14238,generation asia i acquisition limited,generation asia i acquisition limited
14239,news corporation,news
14240,six flags entertainment corporation,six flags entertainment
14241,"paycor hcm, inc.",paycor hcm
14242,heritage oaks bancorp,heritage oaks ban
14243,cc neuberger principal holdings iii,cc neuberger principal holdings iii
14244,"synaptogenix, inc.",synaptogenix
14245,quest patent research corp,quest patent research
14246,"a-mark precious metals, inc.",a-mark precious metals
14247,bison instruments inc,bison instruments
14248,amplify energy corp,amplify energy
14249,"great western bancorp, inc.",great western bancorp
14251,alliancebernstein holding l.p.,alliancebernstein holding
14252,"infinite group, inc.",infinite group
14253,green plains inc.,green plains
14254,tucows inc /pa/,tucows inc /pa/
14255,draftkings inc.,draftkings
14256,"huaizhong health group, inc.",huaizhong health group
14257,"ffbw, inc. /md/","ffbw, inc. /md/"
14258,compass digital acquisition corp.,compass digital acquisition
14259,two river bancorp,two river ban
14260,sonnen corp,sonnen
14261,"mueller water products, inc.",mueller water products
14262,arthrocare corp,arthrocare
14263,"y-mabs therapeutics, inc.",y-mabs therapeutics
14264,"cannae holdings, inc.",cannae holdings
14265,biomarin pharmaceutical inc,biomarin pharmaceutical
14266,qmis tbs capital group corp.,qmis tbs capital group
14267,united artists theatre circuit inc /md/,united artists theatre circuit inc /md/
14268,"supernus pharmaceuticals, inc.",supernus pharmaceuticals
14269,cosan s.a.,cosan s.a.
14270,phoenix new media limited,phoenix new media limited
14271,valero energy corp/tx,valero energy corp/tx
14272,"goodrx holdings, inc.",goodrx holdings
14273,"quantum energy, inc.",quantum energy
14274,assuranceamerica corp,assuranceamerica
14275,travel & leisure co.,travel & leisure
14276,"royal energy resources, inc.",royal energy resources
14277,mobile infrastructure corp,mobile infrastructure
14278,odyssey re holdings corp,odyssey re holdings
14279,sanmina corporation,sanmina
14280,cantel medical llc,cantel medical
14281,"china aluminum foil, inc.",china aluminum foil
14282,99 cents only stores llc,99 cents only stores
14283,pier 1 imports inc/de,pier 1 imports inc/de
14284,staples inc,staples
14285,tat technologies ltd,tat technologies
14286,oxysure systems inc,oxysure systems
14287,sunedison semiconductor ltd,sunedison semiconductor
14289,capital bank corp,capital bank
14290,l 3 communications holdings inc,l 3 communications holdings
14291,tecnoglass inc.,tecnoglass
14292,baycom corp,baycom
14293,boston properties ltd partnership,boston properties ltd partnership
14294,rigel resource acquisition corp.,rigel resource acquisition
14296,"satya worldwide, inc.",satya worldwide
14297,"lumos pharma, inc.",lumos pharma
14298,yuengling’s ice cream corporation,yuengling’s ice cream
14299,"waste management, inc",waste management
14300,"certara, inc.",certara
14301,"united states brent oil fund, lp",united states brent oil fund
14302,"mongolia holdings, inc.",mongolia holdings
14303,thomson reuters corporation,thomson reuters
14304,origin agritech limited,origin agritech limited
14305,bridgeway national corp.,bridgeway national
14306,roi land investments ltd,roi land investments
14307,"cytomx therapeutics, inc.",cytomx therapeutics
14308,fellazo inc.,fellazo
14309,"heritage insurance holdings, inc.",heritage insurance holdings
14310,"ocugen, inc.",ocugen
14311,alternative investment corp,alternative investment
14314,goldenstone acquisition limited,goldenstone acquisition limited
14315,"b456 systems, inc.",b456 systems
14316,"ncino, inc.",ncino
14317,bemis co inc,bemis co
14318,"covetrus, inc.",covetrus
14319,sharplink gaming ltd,sharplink gaming
14320,apeiron capital investment corp.,apeiron capital investment
14321,fuda group (usa) corp,fuda group (usa)
14322,pitney bowes inc,pitney bowes
14324,fuss brands corp.,fuss brands
14325,viewcast com inc,viewcast com
14326,oppfi inc.,oppfi
14327,california water service group,california water service group
14329,calmare therapeutics inc,calmare therapeutics
14330,united development funding income fund v,united development funding income fund v
14331,cpc of america inc,cpc of america
14332,cibolan gold corp,cibolan gold
14333,christopher & banks corp,christopher & banks
14334,"coeur mining, inc.",coeur mining
14335,reserve petroleum co,reserve petroleum
14336,syniverse holdings inc,syniverse holdings
14337,kitara media corp.,kitara media
14338,"ennis, inc.",ennis
14340,"ringcentral, inc.",ringcentral
14341,"americatowne holdings, inc.",americatowne holdings
14342,mcloud technologies corp.,mcloud technologies
14343,infinity property & casualty corp,infinity property & casualty
14344,american petro-hunter inc,american petro-hunter
14345,"pioneer power solutions, inc.",pioneer power solutions
14346,"pnc financial services group, inc.",pnc financial services group
14347,organogenesis holdings inc.,organogenesis holdings
14348,"aadi bioscience, inc.",aadi bioscience
14350,leap technology inc / de,leap technology inc / de
14351,"eau technologies, inc.",eau technologies
14352,widfit inc,widfit
14353,"fuel tech, inc.",fuel tech
14354,packaging corp of america,packaging corp of america
14355,city national corp,city national
14356,webfolio inc.,webfolio
14357,tivo inc,tivo
14358,transact energy corp,transact energy
14359,insite vision inc,insite vision
14360,"waste connections, inc.",waste connections
14361,"epirus biopharmaceuticals, inc.",epirus biopharmaceuticals
14362,monitronics international inc,monitronics international
14363,"vangent, inc.",vangent
14364,allis chalmers energy inc.,allis chalmers energy
14365,"neuronetics, inc.",neuronetics
14368,"roadrunner transportation systems, inc.",roadrunner transportation systems
14369,icon oil & gas fund-a l.p.,icon oil & gas fund-a
14370,yus international group ltd,yus international group
14371,"grow solutions holdings, inc.",grow solutions holdings
14372,"singular genomics systems, inc.",singular genomics systems
14373,"tscan therapeutics, inc.",tscan therapeutics
14374,rain therapeutics inc.,rain therapeutics
14375,"medical properties trust, inc.",medical properties trust
14376,"albireo pharma, inc.",albireo pharma
14377,callisto pharmaceuticals inc,callisto pharmaceuticals
14378,cronos group inc.,cronos group
14379,can b corp.,can b
14380,ensurge inc,ensurge
14381,"chinook therapeutics, inc.",chinook therapeutics
14382,roth ch acquisition v co.,roth ch acquisition v
14383,"encompass energy services, inc.",encompass energy services
14385,nyse euronext,nyse euronext
14386,"bojangles', inc.",bojangles'
14387,north central bancshares inc,north central bancshares
14388,eme homer city generation lp,eme homer city generation
14389,lincoln educational services corp,lincoln educational services
14390,plexus corp.,plexus
14391,"citi trends, inc.",citi trends
14392,"bimini capital management, inc.",bimini capital management
14393,pam transportation services inc,pam transportation services
14394,globalink investment inc.,globalink investment
14395,five star bancorp,five star ban
14396,"trycera financial, inc.",trycera financial
14397,aptinyx inc.,aptinyx
14399,man ahl diversified i lp,man ahl diversified i
14400,byrna technologies inc.,byrna technologies
14401,"amyris, inc.",amyris
14402,store capital corporation,store capital
14403,"barrier 4, inc.",barrier 4
14405,goldsands development co,goldsands development
14408,mocon inc,mocon
14409,committed capital acquisition corp ii,committed capital acquisition corp ii
14410,"opiant pharmaceuticals, inc.",opiant pharmaceuticals
14411,hess midstream partners lp,hess midstream partners
14412,"dorman products, inc.",dorman products
14413,"coinbase global, inc.",coinbase global
